EMP NO,AGE,MARITAL STATUS,GENDER,EDU_ID,JOB_ID,BUSINESS TRAVEL,CF_ATTRITION LABEL,OVER TIME,DISTANCE FROM HOME,TRAINING TIMES LAST YEAR,HOURLY RATE,DAILY RATE,MONTHLY RATE,MONTHLY INCOME,JOB INVOLVEMENT,JOB SATISFACTION,ENVIRONMENT SATISFACTION,RELATIONSHIP SATISFACTION,PERCENT SALARY HIKE,WORK LIFE BALANCE,PERFORMANCE RATING,NUM COMPANIES WORKED,TOTAL WORKING YEARS,YEARS AT COMPANY,YEARS IN CURRENT ROLE,YEARS SINCE LAST PROMOTION,YEARS WITH CURR MANAGER,DATE JOINED,,,,,,
STAFF-1682,35,SINGLE,FEMALE,13,10,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,1,3,92,944,9096,8789,3,3,3,1,14,4,3,1,10,10,7,0,8,05-05-14,,,,,,
STAFF-1683,29,SINGLE,MALE,16,8,TRAVEL_RARELY,EX-EMPLOYEES,YES,18,3,86,896,14961,2389,2,4,3,3,13,2,3,1,4,4,3,0,1,01-08-20,,,,,,
STAFF-1684,52,SINGLE,FEMALE,8,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,3,89,1323,3300,3212,2,4,3,2,15,2,3,7,6,2,2,2,2,15-01-22,,,,,,
STAFF-1685,42,MARRIED,MALE,27,5,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,4,3,58,532,4933,19232,3,4,3,4,11,3,3,1,22,22,17,11,15,09-03-02,,,,,,
STAFF-1686,59,MARRIED,MALE,17,1,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,6,2,52,818,25657,2267,3,3,2,4,17,2,3,8,7,2,2,2,2,06-08-22,,,,,,
STAFF-1687,50,DIVORCED,FEMALE,19,9,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,3,68,854,24118,19517,3,4,4,3,11,2,3,3,32,7,0,0,6,21-07-17,,,,,,
STAFF-1688,33,MARRIED,MALE,18,4,TRAVEL_RARELY,EX-EMPLOYEES,YES,14,2,58,813,22149,2436,3,4,3,3,13,1,3,5,8,5,4,0,4,14-05-19,,,,,,
STAFF-1689,43,MARRIED,FEMALE,13,9,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,16,3,80,1034,7744,16064,3,4,4,3,22,3,4,5,22,17,13,1,9,20-08-07,,,,,,
STAFF-1690,33,MARRIED,FEMALE,7,4,TRAVEL_RARELY,EX-EMPLOYEES,NO,2,3,39,465,21509,2707,3,1,1,1,20,4,4,7,13,9,7,1,7,05-08-15,,,,,,
STAFF-1691,52,SINGLE,MALE,9,9,NON-TRAVEL,CURRENT EMPLOYEES,YES,2,2,79,771,21030,19068,2,3,1,4,18,4,3,1,33,33,7,15,12,07-01-91,,,,,,
STAFF-1692,32,MARRIED,FEMALE,7,11,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,4,5,56,1401,20990,3931,3,2,3,1,11,3,3,2,6,4,3,1,2,02-07-20,,,,,,
STAFF-1693,32,SINGLE,MALE,8,4,TRAVEL_RARELY,EX-EMPLOYEES,YES,1,2,62,515,9571,3730,2,3,4,4,14,1,3,0,4,3,2,1,2,06-11-21,,,,,,
STAFF-1694,39,DIVORCED,FEMALE,19,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,1,96,1431,15417,2232,3,3,3,3,14,3,3,7,7,3,2,1,2,06-06-21,,,,,,
STAFF-1695,32,MARRIED,MALE,14,10,NON-TRAVEL,CURRENT EMPLOYEES,NO,26,2,100,976,12069,4465,3,4,3,1,18,3,3,0,4,3,2,2,2,13-11-21,,,,,,
STAFF-1696,41,DIVORCED,MALE,7,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,19,2,36,1411,19877,3072,3,1,3,1,16,2,3,2,17,1,0,0,0,22-05-23,,,,,,
STAFF-1697,40,DIVORCED,MALE,27,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,24,3,62,1300,24447,3319,3,4,1,1,17,3,3,1,9,9,8,4,7,21-07-15,,,,,,
STAFF-1698,45,MARRIED,MALE,23,5,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,2,70,252,15970,19202,4,4,3,3,11,3,3,0,25,24,0,1,7,06-06-00,,,,,,
STAFF-1699,31,DIVORCED,MALE,19,7,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,3,3,73,1327,13523,13675,3,3,2,1,12,3,3,9,9,2,2,2,2,05-08-22,,,,,,
STAFF-1700,33,MARRIED,FEMALE,9,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,5,2,63,832,14776,2911,2,4,3,3,13,2,3,1,2,2,2,0,2,18-10-22,,,,,,
STAFF-1701,34,MARRIED,MALE,9,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,3,84,470,23687,5957,2,1,4,2,13,3,3,6,13,11,9,5,9,11-08-13,,,,,,
STAFF-1702,37,MARRIED,FEMALE,17,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,2,83,1017,18697,3920,2,1,3,1,14,2,3,2,17,3,1,0,2,17-06-21,,,,,,
STAFF-1703,45,MARRIED,MALE,9,6,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,7,1,77,1199,5118,6434,4,3,1,4,17,3,3,4,9,3,2,0,2,02-01-21,,,,,,
STAFF-1704,37,DIVORCED,MALE,18,6,TRAVEL_FREQUENTLY,EX-EMPLOYEES,NO,10,5,61,504,22573,10048,3,3,1,2,11,3,3,6,17,1,0,0,0,11-11-23,,,,,,
STAFF-1705,39,SINGLE,FEMALE,29,3,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,2,1,64,505,6420,10938,3,3,3,4,25,3,4,0,20,19,6,11,8,19-03-05,,,,,,
STAFF-1706,29,SINGLE,MALE,8,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,15,1,60,665,22673,2340,3,4,3,1,19,3,3,1,6,6,5,1,5,24-01-18,,,,,,
STAFF-1707,42,SINGLE,FEMALE,7,8,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,17,1,82,916,23016,6545,4,1,4,3,13,3,3,3,10,3,2,0,2,07-05-21,,,,,,
STAFF-1708,29,DIVORCED,MALE,12,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,20,2,45,1247,10732,6931,3,4,4,4,14,3,3,2,10,3,2,0,2,21-11-21,,,,,,
STAFF-1709,25,MARRIED,FEMALE,8,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,3,62,685,7505,4898,3,3,1,4,12,3,3,0,5,4,2,1,2,06-01-20,,,,,,
STAFF-1710,42,DIVORCED,FEMALE,18,4,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,2,4,56,269,8007,2593,2,1,4,3,11,3,3,0,10,9,6,7,8,26-10-15,,,,,,
STAFF-1711,40,DIVORCED,MALE,17,7,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,5,49,1416,5949,19436,3,3,1,4,19,3,3,0,22,21,7,3,9,16-06-03,,,,,,
STAFF-1712,51,MARRIED,MALE,8,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,0,96,833,23231,2723,3,4,3,2,11,2,3,1,1,1,0,0,0,19-07-23,,,,,,
STAFF-1713,31,SINGLE,MALE,17,4,TRAVEL_FREQUENTLY,EX-EMPLOYEES,NO,29,2,71,307,11652,3479,2,2,3,2,11,4,3,0,6,5,4,1,4,02-10-19,,,,,,
STAFF-1714,32,MARRIED,MALE,8,4,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,7,3,100,1311,26062,2794,4,2,2,3,20,1,4,1,5,5,1,0,3,04-12-19,,,,,,
STAFF-1715,38,MARRIED,MALE,7,10,NON-TRAVEL,CURRENT EMPLOYEES,NO,2,0,39,1327,19682,5249,2,4,4,4,18,3,3,3,13,8,7,7,5,01-04-16,,,,,,
STAFF-1716,32,SINGLE,MALE,26,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,5,84,128,19737,2176,2,1,4,4,13,3,3,4,9,6,2,0,4,17-03-18,,,,,,
STAFF-1717,46,MARRIED,FEMALE,28,9,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,2,2,75,488,14977,16872,1,2,3,2,12,2,3,3,28,7,7,7,7,22-04-17,,,,,,
STAFF-1718,28,SINGLE,MALE,9,4,TRAVEL_RARELY,EX-EMPLOYEES,NO,2,5,79,529,14935,3485,3,3,1,3,11,1,3,2,5,0,0,0,0,02-12-24,,,,,,
STAFF-1719,29,MARRIED,MALE,18,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,2,78,1210,3687,6644,2,2,1,2,19,3,3,2,10,0,0,0,0,25-03-24,,,,,,
STAFF-1720,31,MARRIED,MALE,18,3,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,23,2,64,1463,14408,5582,2,4,2,2,21,3,4,0,10,9,0,7,8,13-06-15,,,,,,
STAFF-1721,25,DIVORCED,MALE,7,3,NON-TRAVEL,CURRENT EMPLOYEES,NO,5,2,85,675,18384,4000,4,1,2,4,12,3,3,1,6,6,3,1,5,17-05-18,,,,,,
STAFF-1722,45,MARRIED,MALE,17,3,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,20,2,79,1385,7501,13496,3,4,3,2,14,3,3,0,21,20,7,4,10,07-12-04,,,,,,
STAFF-1723,36,MARRIED,MALE,8,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,6,4,47,1403,20251,3210,3,4,4,3,11,3,3,0,16,15,13,10,11,26-10-09,,,,,,
STAFF-1724,55,SINGLE,MALE,18,5,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,1,2,81,452,18938,19045,3,1,4,3,14,3,3,0,37,36,10,4,13,18-07-88,,,,,,
STAFF-1725,47,MARRIED,MALE,9,5,NON-TRAVEL,EX-EMPLOYEES,YES,29,2,88,666,10268,11849,3,2,1,4,12,2,3,1,10,10,7,9,9,03-10-14,,,,,,
STAFF-1726,28,MARRIED,MALE,18,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,9,3,94,1158,2613,2070,3,4,4,4,23,2,4,1,5,5,2,0,4,12-04-19,,,,,,
STAFF-1727,37,MARRIED,MALE,19,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,6,5,98,228,22825,6502,3,4,3,2,14,4,3,4,7,5,4,0,1,06-03-19,,,,,,
STAFF-1728,21,SINGLE,MALE,17,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,3,4,100,996,10531,3230,2,3,4,1,17,4,3,1,3,3,2,1,0,21-09-21,,,,,,
STAFF-1729,37,DIVORCED,FEMALE,19,7,NON-TRAVEL,CURRENT EMPLOYEES,YES,1,2,80,728,11677,13603,3,4,1,1,18,3,3,2,15,5,2,0,2,03-07-19,,,,,,
STAFF-1730,35,DIVORCED,FEMALE,8,5,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,22,6,71,1315,19100,11996,4,2,2,2,18,2,3,7,10,7,7,6,2,02-02-17,,,,,,
STAFF-1731,38,DIVORCED,FEMALE,17,10,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,7,3,44,322,19191,5605,4,1,1,3,24,3,4,1,8,8,0,7,7,16-08-16,,,,,,
STAFF-1732,26,DIVORCED,FEMALE,8,6,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,1,6,84,1479,26767,6397,3,2,3,1,20,1,4,1,6,6,5,1,4,16-01-18,,,,,,
STAFF-1733,50,DIVORCED,MALE,6,7,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,4,4,96,797,15815,19144,3,2,1,1,14,2,3,3,28,10,4,1,6,17-06-14,,,,,,
STAFF-1734,53,MARRIED,MALE,19,7,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,3,5,45,1070,21016,17584,3,3,3,4,16,2,3,3,21,5,3,1,3,25-06-19,,,,,,
STAFF-1735,42,MARRIED,MALE,6,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,3,99,635,24532,4907,3,3,2,3,25,3,4,1,20,20,16,11,6,11-03-04,,,,,,
STAFF-1736,29,SINGLE,MALE,7,10,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,2,3,44,442,20260,4554,3,4,2,1,18,2,3,1,10,10,7,0,9,23-02-14,,,,,,
STAFF-1737,55,MARRIED,MALE,27,4,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,20,4,37,147,15972,5415,3,4,2,4,19,3,3,3,12,10,7,0,8,09-09-14,,,,,,
STAFF-1738,26,MARRIED,MALE,17,3,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,YES,11,3,60,496,22722,4741,3,1,1,3,13,3,3,1,5,5,3,3,3,20-08-19,,,,,,
STAFF-1739,37,SINGLE,FEMALE,8,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,3,42,1372,15881,2115,3,4,4,2,12,3,3,1,17,17,12,5,7,02-12-07,,,,,,
STAFF-1740,44,DIVORCED,MALE,8,4,TRAVEL_FREQUENTLY,EX-EMPLOYEES,YES,24,0,43,920,19920,3161,3,3,4,4,22,1,4,3,19,1,0,0,0,09-06-23,,,,,,
STAFF-1741,38,DIVORCED,MALE,9,3,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,23,2,82,688,18899,5745,3,4,4,2,14,3,3,9,10,2,2,1,2,22-08-22,,,,,,
STAFF-1742,26,DIVORCED,MALE,19,4,TRAVEL_RARELY,EX-EMPLOYEES,YES,16,2,45,1449,14180,2373,3,2,1,4,13,3,3,2,5,3,2,0,2,10-01-21,,,,,,
STAFF-1743,28,SINGLE,FEMALE,7,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,8,3,66,1117,4488,3310,3,4,4,4,21,3,4,1,5,5,3,0,2,15-03-19,,,,,,
STAFF-1744,49,SINGLE,FEMALE,9,7,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,YES,10,4,35,636,25594,18665,3,1,3,4,11,3,3,9,22,3,2,1,2,07-12-21,,,,,,
STAFF-1745,36,SINGLE,MALE,28,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,3,2,30,506,26285,4485,3,2,3,4,12,3,3,4,10,8,0,7,7,23-04-16,,,,,,
STAFF-1746,31,DIVORCED,FEMALE,13,11,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,5,5,84,444,3909,2789,3,2,4,3,11,2,3,1,2,2,2,2,2,16-01-22,,,,,,
STAFF-1747,26,SINGLE,MALE,14,10,TRAVEL_RARELY,EX-EMPLOYEES,YES,4,0,48,950,8450,5828,2,4,4,2,12,3,3,1,8,8,7,7,4,02-09-16,,,,,,
STAFF-1748,37,MARRIED,MALE,18,8,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,YES,9,3,53,889,11411,2326,3,4,2,3,12,2,3,1,4,4,2,1,2,26-06-20,,,,,,
STAFF-1749,42,MARRIED,FEMALE,13,10,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,26,2,77,555,14864,13525,3,2,3,4,14,4,3,5,23,20,4,4,8,27-01-04,,,,,,
STAFF-1750,18,SINGLE,MALE,8,4,TRAVEL_RARELY,EX-EMPLOYEES,NO,3,2,54,230,25233,1420,3,3,3,3,13,3,3,1,0,0,0,0,0,05-05-24,,,,,,
STAFF-1751,35,MARRIED,MALE,13,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,16,3,96,1232,5100,8020,3,2,3,3,15,2,3,0,12,11,9,6,9,03-11-13,,,,,,
STAFF-1752,36,MARRIED,MALE,9,4,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,18,2,81,566,7122,3688,4,4,3,4,18,3,3,4,4,1,0,0,0,08-08-23,,,,,,
STAFF-1753,51,DIVORCED,MALE,18,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,3,84,1302,16321,5482,1,2,4,4,18,3,3,5,13,4,1,1,2,23-03-20,,,,,,
STAFF-1754,41,SINGLE,MALE,9,9,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,2,88,334,15896,16015,3,2,4,2,19,3,3,1,22,22,10,0,4,28-05-02,,,,,,
STAFF-1755,18,SINGLE,FEMALE,18,11,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,10,2,69,812,9724,1200,2,3,4,1,12,3,3,1,0,0,0,0,0,18-09-24,,,,,,
STAFF-1756,28,SINGLE,MALE,17,3,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,16,2,68,1476,4824,5661,4,1,2,3,19,3,3,0,9,8,3,0,7,10-06-16,,,,,,
STAFF-1757,31,MARRIED,MALE,28,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,7,3,100,218,12241,6929,4,4,2,2,11,2,3,4,10,8,7,7,7,07-08-16,,,,,,
STAFF-1758,39,DIVORCED,MALE,18,3,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,5,48,1132,10942,9613,4,4,3,1,17,2,3,0,19,18,10,3,7,18-12-06,,,,,,
STAFF-1759,36,MARRIED,FEMALE,9,4,NON-TRAVEL,CURRENT EMPLOYEES,NO,24,3,47,1105,6927,5674,3,2,2,3,15,3,3,7,11,9,8,0,8,22-12-15,,,,,,
STAFF-1760,32,MARRIED,MALE,8,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,7,3,91,906,16985,5484,2,3,4,3,14,2,3,1,13,13,8,4,8,28-05-11,,,,,,
STAFF-1761,38,MARRIED,FEMALE,7,7,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,25,2,81,849,26707,12061,2,2,1,3,17,3,3,3,19,10,8,0,1,15-03-14,,,,,,
STAFF-1762,58,DIVORCED,MALE,9,3,NON-TRAVEL,CURRENT EMPLOYEES,YES,1,2,32,390,17056,5660,1,3,4,4,13,3,3,2,12,5,3,1,2,10-10-19,,,,,,
STAFF-1763,31,MARRIED,MALE,29,8,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,5,4,86,691,10077,4821,3,4,3,3,12,3,3,0,6,5,2,0,3,08-06-19,,,,,,
STAFF-1764,31,MARRIED,MALE,3,1,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,1,62,106,17822,6410,2,1,1,4,12,3,3,3,9,2,2,1,0,18-05-22,,,,,,
STAFF-1765,45,DIVORCED,MALE,8,4,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,7,2,97,1249,20308,5210,3,1,1,1,18,3,3,1,24,24,9,9,11,18-03-00,,,,,,
STAFF-1766,31,DIVORCED,MALE,9,8,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,2,2,32,192,7747,2695,3,4,3,2,18,1,3,0,3,2,2,2,2,16-08-22,,,,,,
STAFF-1767,33,MARRIED,FEMALE,9,5,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,5,2,74,553,23364,11878,3,2,4,2,11,3,3,6,12,10,6,8,8,15-11-14,,,,,,
STAFF-1768,39,MARRIED,MALE,16,5,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,10,3,99,117,5355,17068,3,1,3,4,14,3,3,1,21,21,9,11,10,18-04-03,,,,,,
STAFF-1769,43,SINGLE,FEMALE,9,4,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,10,5,33,185,10675,2455,3,4,3,1,19,3,3,0,9,8,7,1,7,09-10-16,,,,,,
STAFF-1770,49,SINGLE,FEMALE,27,3,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,1,2,90,1091,17810,13964,2,3,3,4,12,3,3,7,25,7,1,0,7,09-10-17,,,,,,
STAFF-1771,52,MARRIED,MALE,19,8,TRAVEL_RARELY,EX-EMPLOYEES,NO,8,3,85,723,17747,4941,2,2,3,1,15,2,3,2,11,8,2,7,7,02-05-16,,,,,,
STAFF-1772,27,SINGLE,FEMALE,8,8,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,5,2,85,1220,20938,2478,3,2,3,2,12,2,3,1,4,4,3,1,2,26-05-20,,,,,,
STAFF-1773,32,MARRIED,FEMALE,27,10,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,8,2,65,588,24624,5228,2,2,3,4,11,3,3,1,13,13,12,11,9,26-09-11,,,,,,
STAFF-1774,27,SINGLE,MALE,8,10,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,2,3,74,1377,5242,4478,3,3,4,1,11,3,3,1,5,5,4,0,4,08-11-19,,,,,,
STAFF-1775,31,DIVORCED,MALE,13,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,7,3,73,691,7143,7547,3,4,4,4,12,3,3,4,13,7,7,1,7,03-07-17,,,,,,
STAFF-1776,32,SINGLE,FEMALE,19,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,0,74,1018,10557,5055,4,4,1,3,16,2,3,7,10,7,7,0,7,15-04-17,,,,,,
STAFF-1777,28,MARRIED,MALE,19,8,TRAVEL_RARELY,EX-EMPLOYEES,YES,2,4,84,1157,24737,3464,1,4,1,4,13,2,3,5,5,3,2,2,2,09-03-21,,,,,,
STAFF-1778,30,MARRIED,FEMALE,17,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,28,2,64,1275,11934,5775,3,4,4,4,13,3,3,1,11,10,8,1,9,14-10-14,,,,,,
STAFF-1779,31,MARRIED,FEMALE,7,6,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,7,2,48,798,14034,8943,2,3,3,1,24,3,4,1,10,10,9,8,9,20-10-14,,,,,,
STAFF-1780,39,MARRIED,MALE,17,5,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,7,2,54,672,21141,19272,2,4,3,1,15,3,3,1,21,21,9,13,3,05-05-03,,,,,,
STAFF-1781,39,MARRIED,FEMALE,17,10,TRAVEL_RARELY,EX-EMPLOYEES,YES,3,3,41,1162,17778,5238,3,3,4,1,18,2,3,4,12,1,0,0,0,11-09-23,,,,,,
STAFF-1782,33,SINGLE,MALE,13,10,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,10,6,46,508,4317,4682,2,4,2,3,14,2,3,3,9,7,7,0,1,21-12-17,,,,,,
STAFF-1783,47,MARRIED,MALE,10,7,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,5,2,42,1482,16375,18300,3,3,4,2,11,3,3,4,21,3,2,1,1,23-04-21,,,,,,
STAFF-1784,43,DIVORCED,FEMALE,9,4,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,10,3,82,559,6227,5257,2,3,3,2,11,4,3,1,9,9,7,0,0,17-12-15,,,,,,
STAFF-1785,27,MARRIED,MALE,11,10,NON-TRAVEL,CURRENT EMPLOYEES,YES,1,0,73,210,22107,6349,3,2,3,4,13,3,3,0,6,5,4,1,4,10-07-19,,,,,,
STAFF-1786,54,SINGLE,FEMALE,9,8,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,20,4,31,928,16885,4869,3,3,4,4,12,2,3,3,20,4,3,0,3,14-02-20,,,,,,
STAFF-1787,43,MARRIED,FEMALE,8,3,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,7,1,43,1001,9262,9985,3,1,3,1,16,2,3,8,10,1,0,0,0,21-03-23,,,,,,
STAFF-1788,45,MARRIED,MALE,24,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,8,3,75,549,9278,3697,3,4,4,1,14,3,3,9,12,10,9,9,8,07-06-14,,,,,,
STAFF-1789,40,MARRIED,MALE,17,10,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,1,2,57,1124,13273,7457,1,4,2,3,22,2,4,2,6,4,3,0,2,13-09-20,,,,,,
STAFF-1790,29,MARRIED,MALE,24,4,TRAVEL_RARELY,EX-EMPLOYEES,YES,8,4,77,318,4759,2119,1,1,2,4,11,2,3,1,7,7,7,0,7,09-12-17,,,,,,
STAFF-1791,29,SINGLE,MALE,25,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,9,2,30,738,7621,3983,2,4,2,3,17,3,3,0,4,3,2,2,2,21-04-21,,,,,,
STAFF-1792,30,DIVORCED,FEMALE,13,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,5,2,30,570,5431,6118,2,3,4,3,13,3,3,1,10,10,9,1,2,10-02-14,,,,,,
STAFF-1793,27,MARRIED,FEMALE,14,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,8,3,56,1130,3415,6214,3,2,2,1,18,3,3,1,8,8,7,0,7,15-12-16,,,,,,
STAFF-1794,37,DIVORCED,MALE,17,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,5,2,61,1192,23177,6347,3,4,4,3,16,2,3,7,8,6,2,0,4,22-03-18,,,,,,
STAFF-1795,38,DIVORCED,MALE,7,7,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,15,3,92,343,15682,11510,2,4,3,2,14,3,3,0,12,11,10,2,9,23-12-13,,,,,,
STAFF-1796,31,SINGLE,FEMALE,19,6,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,7,2,39,1232,25713,7143,3,4,3,3,14,2,3,1,11,11,9,4,10,20-01-13,,,,,,
STAFF-1797,29,DIVORCED,FEMALE,11,10,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,10,2,39,144,11866,8268,2,2,4,1,14,3,3,1,7,7,7,1,7,28-04-17,,,,,,
STAFF-1798,35,SINGLE,MALE,29,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,5,5,62,1296,18264,8095,3,2,3,4,13,3,3,0,17,16,6,0,13,23-12-08,,,,,,
STAFF-1799,23,DIVORCED,MALE,6,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,26,2,83,1309,16092,2904,3,4,3,3,12,2,3,1,4,4,2,0,2,09-07-20,,,,,,
STAFF-1800,41,SINGLE,MALE,18,6,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,6,3,95,483,10110,6032,2,2,4,4,15,3,3,6,8,5,4,1,2,28-10-19,,,,,,
STAFF-1801,47,SINGLE,MALE,16,11,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,4,3,99,1309,25751,2976,3,3,2,1,19,3,3,3,5,0,0,0,0,06-07-24,,,,,,
STAFF-1802,42,SINGLE,FEMALE,10,7,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,23,2,44,810,15901,15992,3,4,1,2,14,3,3,2,16,1,0,0,0,07-10-23,,,,,,
STAFF-1803,29,MARRIED,MALE,8,10,NON-TRAVEL,CURRENT EMPLOYEES,NO,2,3,61,746,16928,4649,3,3,4,1,14,2,3,1,4,4,3,0,2,19-10-20,,,,,,
STAFF-1804,42,DIVORCED,MALE,26,1,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,2,5,52,544,24017,2696,3,3,3,3,11,3,3,0,4,3,2,1,0,15-05-21,,,,,,
STAFF-1805,32,MARRIED,FEMALE,18,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,4,75,1062,3956,2370,3,2,3,3,13,3,3,1,8,8,0,0,7,20-06-16,,,,,,
STAFF-1806,48,MARRIED,FEMALE,16,9,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,29,3,91,530,23978,12504,3,3,1,2,21,1,4,3,15,0,0,0,0,02-10-24,,,,,,
STAFF-1807,37,DIVORCED,MALE,18,8,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,6,2,51,1319,17001,5974,4,1,3,1,13,3,3,4,13,7,7,6,7,05-04-17,,,,,,
STAFF-1808,30,MARRIED,FEMALE,27,10,NON-TRAVEL,CURRENT EMPLOYEES,YES,25,2,85,641,6069,4736,3,3,4,2,12,4,3,7,4,2,2,2,2,26-05-22,,,,,,
