EMP NO,TRAINING CODE
STAFF-1262,20
STAFF-1262,12
STAFF-1262,5
STAFF-1263,8
STAFF-1263,12
STAFF-1263,6
STAFF-1264,14
STAFF-1264,17
STAFF-1264,5
STAFF-1264,13
STAFF-1264,3
STAFF-1265,15
STAFF-1265,5
STAFF-1265,13
STAFF-1265,15
STAFF-1265,16
STAFF-1266,12
STAFF-1266,19
STAFF-1267,13
STAFF-1267,3
STAFF-1267,18
STAFF-1268,19
STAFF-1268,3
STAFF-1269,10
STAFF-1269,2
STAFF-1269,3
STAFF-1270,8
STAFF-1270,20
STAFF-1271,18
STAFF-1271,9
STAFF-1272,4
STAFF-1272,1
STAFF-1272,1
STAFF-1272,16
STAFF-1273,1
STAFF-1273,18
STAFF-1273,4
STAFF-1273,18
STAFF-1274,13
STAFF-1274,7
STAFF-1275,19
STAFF-1275,18
STAFF-1275,18
STAFF-1275,17
STAFF-1276,13
STAFF-1276,12
STAFF-1277,4
STAFF-1277,3
STAFF-1277,4
STAFF-1278,3
STAFF-1278,14
STAFF-1278,20
STAFF-1279,12
STAFF-1279,15
STAFF-1279,11
STAFF-1279,17
STAFF-1279,9
STAFF-1279,12
STAFF-1280,15
STAFF-1280,4
STAFF-1280,16
STAFF-1281,11
STAFF-1281,14
STAFF-1282,1
STAFF-1282,17
STAFF-1282,14
STAFF-1282,19
STAFF-1282,17
STAFF-1282,19
STAFF-1283,12
STAFF-1283,7
STAFF-1284,14
STAFF-1284,17
STAFF-1284,14
STAFF-1284,3
STAFF-1285,13
STAFF-1285,7
STAFF-1285,20
STAFF-1286,18
STAFF-1286,11
STAFF-1286,18
STAFF-1287,3
STAFF-1287,11
STAFF-1288,2
STAFF-1288,2
STAFF-1288,18
STAFF-1289,9
STAFF-1289,18
STAFF-1290,19
STAFF-1290,11
STAFF-1291,3
STAFF-1291,19
STAFF-1291,1
STAFF-1292,3
STAFF-1292,8
STAFF-1292,4
STAFF-1292,8
STAFF-1293,1
STAFF-1293,1
STAFF-1293,11
STAFF-1293,5
STAFF-1294,5
STAFF-1294,6
STAFF-1295,4
STAFF-1295,14
STAFF-1295,13
STAFF-1296,8
STAFF-1296,6
STAFF-1296,19
STAFF-1297,20
STAFF-1297,7
STAFF-1298,18
STAFF-1298,20
STAFF-1298,3
STAFF-1299,16
STAFF-1299,2
STAFF-1300,11
STAFF-1300,3
STAFF-1300,11
STAFF-1301,18
STAFF-1301,9
STAFF-1301,10
STAFF-1302,19
STAFF-1302,19
STAFF-1303,17
STAFF-1303,4
STAFF-1303,18
STAFF-1304,2
STAFF-1304,14
STAFF-1304,9
STAFF-1305,16
STAFF-1305,20
STAFF-1305,14
STAFF-1306,11
STAFF-1306,1
STAFF-1306,12
STAFF-1307,11
STAFF-1307,20
STAFF-1307,6
STAFF-1308,18
STAFF-1308,19
STAFF-1309,3
STAFF-1309,20
STAFF-1310,13
STAFF-1310,19
STAFF-1311,1
STAFF-1311,11
STAFF-1312,13
STAFF-1312,6
STAFF-1312,11
STAFF-1312,10
STAFF-1312,5
STAFF-1313,15
STAFF-1313,14
STAFF-1315,11
STAFF-1315,16
STAFF-1316,3
STAFF-1316,18
STAFF-1316,18
STAFF-1317,12
STAFF-1317,18
STAFF-1317,14
STAFF-1318,19
STAFF-1318,3
STAFF-1319,16
STAFF-1319,5
STAFF-1319,20
STAFF-1319,18
STAFF-1319,6
STAFF-1320,19
STAFF-1320,19
STAFF-1321,13
STAFF-1321,16
STAFF-1322,10
STAFF-1322,10
STAFF-1322,13
STAFF-1323,16
STAFF-1323,14
STAFF-1324,13
STAFF-1325,11
STAFF-1325,3
STAFF-1325,3
STAFF-1326,17
STAFF-1326,11
STAFF-1326,14
STAFF-1326,11
STAFF-1327,7
STAFF-1327,4
STAFF-1327,20
STAFF-1328,2
STAFF-1328,1
STAFF-1328,3
STAFF-1329,17
STAFF-1329,2
STAFF-1330,16
STAFF-1330,12
STAFF-1330,12
STAFF-1330,3
STAFF-1330,19
STAFF-1330,16
STAFF-1331,8
STAFF-1331,6
STAFF-1331,15
STAFF-1332,3
STAFF-1332,11
STAFF-1332,15
STAFF-1332,12
STAFF-1332,1
STAFF-1333,10
STAFF-1333,5
STAFF-1333,2
STAFF-1333,16
STAFF-1334,16
STAFF-1334,6
STAFF-1334,20
STAFF-1335,12
STAFF-1335,10
STAFF-1336,6
STAFF-1336,4
STAFF-1336,12
STAFF-1337,11
STAFF-1337,9
STAFF-1337,8
STAFF-1338,4
STAFF-1338,11
STAFF-1338,16
STAFF-1338,2
STAFF-1338,2
STAFF-1338,16
STAFF-1339,4
STAFF-1339,12
STAFF-1340,17
STAFF-1340,18
STAFF-1341,16
STAFF-1341,20
STAFF-1341,2
STAFF-1342,13
STAFF-1342,13
STAFF-1343,20
STAFF-1343,12
STAFF-1343,7
STAFF-1344,5
STAFF-1344,20
STAFF-1344,7
STAFF-1345,19
STAFF-1345,2
STAFF-1346,11
STAFF-1346,6
STAFF-1346,1
STAFF-1346,18
STAFF-1346,17
STAFF-1347,3
STAFF-1347,14
STAFF-1347,3
STAFF-1347,12
STAFF-1347,6
STAFF-1348,12
STAFF-1348,8
STAFF-1348,14
STAFF-1349,17
STAFF-1349,11
STAFF-1349,16
STAFF-1350,9
STAFF-1350,13
STAFF-1350,7
STAFF-1350,8
STAFF-1350,8
STAFF-1350,5
STAFF-1351,16
STAFF-1351,5
STAFF-1351,4
STAFF-1352,17
STAFF-1352,2
STAFF-1352,17
STAFF-1353,20
STAFF-1353,4
STAFF-1353,9
STAFF-1353,20
STAFF-1353,2
STAFF-1354,19
STAFF-1354,8
STAFF-1354,10
STAFF-1355,14
STAFF-1355,8
STAFF-1355,15
STAFF-1355,15
STAFF-1355,8
STAFF-1356,10
STAFF-1356,8
STAFF-1357,16
STAFF-1357,8
STAFF-1358,6
STAFF-1358,20
STAFF-1358,12
STAFF-1359,16
STAFF-1359,20
STAFF-1359,18
STAFF-1360,18
STAFF-1361,12
STAFF-1361,10
STAFF-1361,11
STAFF-1361,17
STAFF-1361,1
STAFF-1363,10
STAFF-1363,2
STAFF-1363,16
STAFF-1363,5
STAFF-1364,4
STAFF-1364,12
STAFF-1365,8
STAFF-1365,18
STAFF-1366,1
STAFF-1366,16
STAFF-1366,15
STAFF-1366,11
STAFF-1366,9
STAFF-1366,8
STAFF-1367,6
STAFF-1367,14
STAFF-1367,6
STAFF-1368,18
STAFF-1368,9
STAFF-1368,20
STAFF-1368,2
STAFF-1368,2
STAFF-1369,15
STAFF-1369,2
STAFF-1369,17
STAFF-1370,12
STAFF-1370,16
STAFF-1371,8
STAFF-1371,14
STAFF-1371,20
STAFF-1372,9
STAFF-1372,13
STAFF-1373,2
STAFF-1373,15
STAFF-1373,8
STAFF-1373,8
STAFF-1373,12
STAFF-1373,11
STAFF-1374,3
STAFF-1374,3
STAFF-1374,14
STAFF-1375,9
STAFF-1375,12
STAFF-1375,10
STAFF-1376,17
STAFF-1376,3
STAFF-1377,4
STAFF-1377,4
STAFF-1378,20
STAFF-1378,16
STAFF-1378,13
STAFF-1379,6
STAFF-1379,2
STAFF-1379,19
STAFF-1380,4
STAFF-1380,9
STAFF-1380,10
STAFF-1381,1
STAFF-1381,1
STAFF-1381,11
STAFF-1382,5
STAFF-1382,17
STAFF-1382,14
STAFF-1383,16
STAFF-1383,17
STAFF-1383,16
STAFF-1383,8
STAFF-1383,16
STAFF-1384,5
STAFF-1385,19
STAFF-1385,1
STAFF-1386,1
STAFF-1386,17
STAFF-1386,18
STAFF-1387,17
STAFF-1387,3
STAFF-1387,8
STAFF-1387,12
STAFF-1387,17
STAFF-1388,2
STAFF-1388,7
STAFF-1388,7
STAFF-1389,1
STAFF-1389,2
STAFF-1390,18
STAFF-1390,19
STAFF-1391,7
STAFF-1391,14
STAFF-1392,18
STAFF-1392,4
STAFF-1392,16
STAFF-1393,12
STAFF-1393,16
STAFF-1394,13
STAFF-1394,11
STAFF-1394,6
STAFF-1395,18
STAFF-1395,16
STAFF-1395,13
STAFF-1395,1
STAFF-1396,9
STAFF-1396,5
STAFF-1398,14
STAFF-1398,5
STAFF-1399,5
STAFF-1399,20
STAFF-1399,15
STAFF-1399,6
STAFF-1400,8
STAFF-1400,15
STAFF-1400,12
STAFF-1471,7
STAFF-1471,15
STAFF-1472,2
STAFF-1472,10
STAFF-1472,15
STAFF-1473,8
STAFF-1473,11
STAFF-1473,8
STAFF-1474,11
STAFF-1474,12
STAFF-1474,18
STAFF-1474,13
STAFF-1474,13
STAFF-1476,17
STAFF-1476,16
STAFF-1476,15
STAFF-1476,18
STAFF-1477,19
STAFF-1477,3
STAFF-1477,9
STAFF-1477,2
STAFF-1477,4
STAFF-1477,3
STAFF-1479,5
STAFF-1479,3
STAFF-1479,5
STAFF-1481,4
STAFF-1481,3
STAFF-1482,13
STAFF-1482,5
STAFF-1482,5
STAFF-1482,16
STAFF-1483,13
STAFF-1483,18
STAFF-1484,1
STAFF-1484,8
STAFF-1484,20
STAFF-1485,12
STAFF-1485,9
STAFF-1485,15
STAFF-1485,10
STAFF-1485,12
STAFF-1486,3
STAFF-1486,5
STAFF-1486,10
STAFF-1486,11
STAFF-1486,18
STAFF-1489,20
STAFF-1489,4
STAFF-1489,4
STAFF-1491,7
STAFF-1491,8
STAFF-1491,11
STAFF-1492,7
STAFF-1492,7
STAFF-1492,9
STAFF-1493,15
STAFF-1493,16
STAFF-1493,9
STAFF-1494,15
STAFF-1494,16
STAFF-1494,10
STAFF-1495,10
STAFF-1495,2
STAFF-1495,16
STAFF-1495,4
STAFF-1495,6
STAFF-1495,15
STAFF-1498,9
STAFF-1498,7
STAFF-1500,20
STAFF-1500,3
STAFF-1501,9
STAFF-1502,14
STAFF-1502,2
STAFF-1502,12
STAFF-1502,10
STAFF-1503,7
STAFF-1503,20
STAFF-1506,13
STAFF-1506,12
STAFF-1507,18
STAFF-1507,8
STAFF-1507,3
STAFF-1508,17
STAFF-1508,3
STAFF-1509,14
STAFF-1510,1
STAFF-1510,7
STAFF-1510,20
STAFF-1511,8
STAFF-1511,20
STAFF-1511,19
STAFF-1512,4
STAFF-1512,10
STAFF-1512,13
STAFF-1513,11
STAFF-1513,19
STAFF-1514,20
STAFF-1514,7
STAFF-1514,2
STAFF-1515,8
STAFF-1515,4
STAFF-1516,13
STAFF-1516,12
STAFF-1517,19
STAFF-1517,7
STAFF-1517,2
STAFF-1518,4
STAFF-1518,1
STAFF-1519,18
STAFF-1519,1
STAFF-1520,8
STAFF-1520,4
STAFF-1520,1
STAFF-1521,3
STAFF-1521,18
STAFF-1522,3
STAFF-1522,20
STAFF-1524,8
STAFF-1524,6
STAFF-1525,2
STAFF-1525,12
STAFF-1525,10
STAFF-1526,1
STAFF-1526,8
STAFF-1526,17
STAFF-1526,12
STAFF-1527,3
STAFF-1527,14
STAFF-1527,14
STAFF-1528,5
STAFF-1528,8
STAFF-1528,14
STAFF-1529,19
STAFF-1529,3
STAFF-1530,10
STAFF-1530,6
STAFF-1531,5
STAFF-1531,10
STAFF-1531,19
STAFF-1532,6
STAFF-1532,11
STAFF-1532,6
STAFF-1533,14
STAFF-1533,15
STAFF-1534,2
STAFF-1535,20
STAFF-1535,4
STAFF-1535,4
STAFF-1536,17
STAFF-1536,12
STAFF-1536,10
STAFF-1536,4
STAFF-1537,11
STAFF-1537,4
STAFF-1537,13
STAFF-1538,5
STAFF-1538,4
STAFF-1539,4
STAFF-1539,20
STAFF-1539,15
STAFF-1540,10
STAFF-1540,18
STAFF-1540,8
STAFF-1541,17
STAFF-1541,1
STAFF-1541,19
STAFF-1541,11
STAFF-1542,17
STAFF-1542,5
STAFF-1542,5
STAFF-1544,4
STAFF-1544,9
STAFF-1544,9
STAFF-1545,16
STAFF-1545,11
STAFF-1546,18
STAFF-1546,18
STAFF-1546,7
STAFF-1546,6
STAFF-1547,5
STAFF-1547,17
STAFF-1547,12
STAFF-1547,9
STAFF-1547,2
STAFF-1549,7
STAFF-1549,4
STAFF-1549,8
STAFF-1549,10
STAFF-1549,13
STAFF-1550,12
STAFF-1550,18
STAFF-1551,18
STAFF-1551,9
STAFF-1551,3
STAFF-1552,14
STAFF-1553,6
STAFF-1553,3
STAFF-1553,5
STAFF-1555,14
STAFF-1555,16
STAFF-1557,12
STAFF-1557,1
STAFF-1557,16
STAFF-1558,4
STAFF-1558,18
STAFF-1559,17
STAFF-1559,4
STAFF-1559,7
STAFF-1560,13
STAFF-1562,17
STAFF-1562,5
STAFF-1563,2
STAFF-1563,17
STAFF-1563,7
STAFF-1563,8
STAFF-1563,2
STAFF-1564,11
STAFF-1566,11
STAFF-1566,18
STAFF-1566,13
STAFF-1567,10
STAFF-1567,11
STAFF-1568,6
STAFF-1568,10
STAFF-1568,11
STAFF-1569,11
STAFF-1569,16
STAFF-1569,9
STAFF-1570,7
STAFF-1570,6
STAFF-1570,17
STAFF-1570,4
STAFF-1570,17
STAFF-1570,2
STAFF-1571,13
STAFF-1571,1
STAFF-1571,20
STAFF-1571,12
STAFF-1571,5
STAFF-1571,4
STAFF-1572,15
STAFF-1572,14
STAFF-1573,14
STAFF-1573,7
STAFF-1573,17
STAFF-1574,5
STAFF-1574,2
STAFF-1575,4
STAFF-1575,16
STAFF-1577,12
STAFF-1577,7
STAFF-1577,1
STAFF-1577,14
STAFF-1577,9
STAFF-1579,12
STAFF-1579,11
STAFF-1579,12
STAFF-1582,12
STAFF-1582,8
STAFF-1583,7
STAFF-1583,2
STAFF-1584,16
STAFF-1584,10
STAFF-1585,7
STAFF-1585,2
STAFF-1585,3
STAFF-1587,1
STAFF-1587,4
STAFF-1588,10
STAFF-1588,17
STAFF-1588,3
STAFF-1591,14
STAFF-1592,13
STAFF-1592,10
STAFF-1592,7
STAFF-1593,10
STAFF-1593,8
STAFF-1595,4
STAFF-1595,14
STAFF-1596,15
STAFF-1596,17
STAFF-1597,6
STAFF-1597,17
STAFF-1597,11
STAFF-1597,2
STAFF-1598,13
STAFF-1598,14
STAFF-1599,16
STAFF-1599,11
STAFF-1599,8
STAFF-1600,11
STAFF-1600,2
STAFF-1600,5
STAFF-1601,9
STAFF-1601,20
STAFF-1602,9
STAFF-1602,6
STAFF-1603,11
STAFF-1603,17
STAFF-1603,10
STAFF-1604,19
STAFF-1604,12
STAFF-1605,14
STAFF-1605,12
STAFF-1605,3
STAFF-1606,8
STAFF-1606,10
STAFF-1606,11
STAFF-1607,16
STAFF-1607,2
STAFF-1608,20
STAFF-1608,1
STAFF-1609,12
STAFF-1610,17
STAFF-1610,1
STAFF-1611,9
STAFF-1611,13
STAFF-1611,3
STAFF-1612,3
STAFF-1612,1
STAFF-1613,18
STAFF-1613,10
STAFF-1613,13
STAFF-1614,3
STAFF-1614,9
STAFF-1614,10
STAFF-1614,7
STAFF-1614,12
STAFF-1614,9
STAFF-1615,11
STAFF-1616,19
STAFF-1616,2
STAFF-1617,2
STAFF-1617,12
STAFF-1618,1
STAFF-1618,9
STAFF-1619,8
STAFF-1619,12
STAFF-1619,5
STAFF-1619,1
STAFF-1619,13
STAFF-1620,17
STAFF-1620,10
STAFF-1621,6
STAFF-1621,10
STAFF-1622,2
STAFF-1622,17
STAFF-1623,3
STAFF-1623,6
STAFF-1624,11
STAFF-1624,13
STAFF-1624,17
STAFF-1626,9
STAFF-1626,12
STAFF-1626,18
STAFF-1627,15
STAFF-1627,13
STAFF-1627,12
STAFF-1627,16
STAFF-1628,2
STAFF-1628,14
STAFF-1628,1
STAFF-1629,1
STAFF-1629,1
STAFF-1629,13
STAFF-1630,8
STAFF-1630,7
STAFF-1632,4
STAFF-1632,8
STAFF-1633,12
STAFF-1633,3
STAFF-1633,15
STAFF-1635,16
STAFF-1635,4
STAFF-1635,17
STAFF-1637,2
STAFF-1637,7
STAFF-1638,12
STAFF-1638,4
STAFF-1638,16
STAFF-1639,11
STAFF-1639,16
STAFF-1639,18
STAFF-1639,17
STAFF-1639,13
STAFF-1640,19
STAFF-1640,5
STAFF-1641,5
STAFF-1641,16
STAFF-1641,13
STAFF-1642,13
STAFF-1642,20
STAFF-1643,7
STAFF-1643,20
STAFF-1643,20
STAFF-1643,13
STAFF-1643,5
STAFF-1643,15
STAFF-1644,14
STAFF-1644,18
STAFF-1644,5
STAFF-1644,6
STAFF-1644,17
STAFF-1645,19
STAFF-1645,20
STAFF-1647,18
STAFF-1647,3
STAFF-1647,2
STAFF-1648,15
STAFF-1649,20
STAFF-1649,2
STAFF-1649,15
STAFF-1650,9
STAFF-1650,8
STAFF-1650,2
STAFF-1650,16
STAFF-1650,8
STAFF-1651,13
STAFF-1651,5
STAFF-1651,8
STAFF-1651,11
STAFF-1651,8
STAFF-1652,4
STAFF-1652,16
STAFF-1652,12
STAFF-1653,19
STAFF-1653,10
STAFF-1653,9
STAFF-1654,13
STAFF-1656,10
STAFF-1656,4
STAFF-1656,4
STAFF-1656,6
STAFF-1657,9
STAFF-1657,20
STAFF-1660,8
STAFF-1660,1
STAFF-1661,12
STAFF-1661,19
STAFF-1662,17
STAFF-1662,10
STAFF-1662,12
STAFF-1662,12
STAFF-1662,15
STAFF-1663,18
STAFF-1663,15
STAFF-1663,6
STAFF-1665,4
STAFF-1665,17
STAFF-1666,1
STAFF-1666,4
STAFF-1667,14
STAFF-1667,4
STAFF-1667,14
STAFF-1667,1
STAFF-1667,13
STAFF-1669,6
STAFF-1669,20
STAFF-1669,20
STAFF-1672,12
STAFF-1672,4
STAFF-1673,7
STAFF-1673,16
STAFF-1673,19
STAFF-1673,13
STAFF-1674,2
STAFF-1674,7
STAFF-1674,7
STAFF-1675,18
STAFF-1675,16
STAFF-1675,9
STAFF-1676,7
STAFF-1677,10
STAFF-1677,5
STAFF-1677,15
STAFF-1677,13
STAFF-1677,10
STAFF-1677,14
STAFF-1678,4
STAFF-1678,8
STAFF-1679,6
STAFF-1679,20
STAFF-1679,17
STAFF-1679,19
STAFF-1679,5
STAFF-1679,6
STAFF-1680,10
STAFF-1680,8
STAFF-1681,13
STAFF-1681,6
STAFF-1681,2
STAFF-1681,16
STAFF-1681,13
STAFF-1682,8
STAFF-1682,6
STAFF-1682,7
STAFF-1684,12
STAFF-1684,5
STAFF-1684,4
STAFF-1685,14
STAFF-1685,12
STAFF-1685,2
STAFF-1686,4
STAFF-1686,1
STAFF-1687,10
STAFF-1687,5
STAFF-1687,9
STAFF-1689,10
STAFF-1689,7
STAFF-1689,19
STAFF-1691,1
STAFF-1691,18
STAFF-1692,6
STAFF-1692,6
STAFF-1692,20
STAFF-1692,11
STAFF-1692,14
STAFF-1694,5
STAFF-1695,10
STAFF-1695,6
STAFF-1696,11
STAFF-1696,6
STAFF-1697,5
STAFF-1697,17
STAFF-1697,5
STAFF-1698,12
STAFF-1698,9
STAFF-1699,1
STAFF-1699,13
STAFF-1699,4
STAFF-1700,16
STAFF-1700,20
STAFF-1701,6
STAFF-1701,6
STAFF-1701,7
STAFF-1702,4
STAFF-1702,20
STAFF-1703,12
STAFF-1705,16
STAFF-1706,15
STAFF-1707,3
STAFF-1708,1
STAFF-1708,9
STAFF-1709,16
STAFF-1709,2
STAFF-1709,16
STAFF-1710,6
STAFF-1710,18
STAFF-1710,16
STAFF-1710,20
STAFF-1711,14
STAFF-1711,3
STAFF-1711,4
STAFF-1711,6
STAFF-1711,4
STAFF-1714,7
STAFF-1714,13
STAFF-1714,19
STAFF-1716,14
STAFF-1716,16
STAFF-1716,19
STAFF-1716,3
STAFF-1716,14
STAFF-1717,1
STAFF-1717,3
STAFF-1719,9
STAFF-1719,4
STAFF-1720,4
STAFF-1720,9
STAFF-1721,20
STAFF-1721,3
STAFF-1722,12
STAFF-1722,11
STAFF-1723,18
STAFF-1723,4
STAFF-1723,12
STAFF-1723,13
STAFF-1724,20
STAFF-1724,2
STAFF-1726,20
STAFF-1726,2
STAFF-1726,6
STAFF-1727,15
STAFF-1727,5
STAFF-1727,11
STAFF-1727,16
STAFF-1727,18
STAFF-1728,16
STAFF-1728,10
STAFF-1728,19
STAFF-1728,15
STAFF-1729,4
STAFF-1729,12
STAFF-1730,1
STAFF-1730,6
STAFF-1730,12
STAFF-1730,5
STAFF-1730,11
STAFF-1730,2
STAFF-1731,15
STAFF-1731,18
STAFF-1731,12
STAFF-1732,11
STAFF-1732,5
STAFF-1732,10
STAFF-1732,2
STAFF-1732,15
STAFF-1732,19
STAFF-1733,6
STAFF-1733,3
STAFF-1733,10
STAFF-1733,14
STAFF-1734,11
STAFF-1734,6
STAFF-1734,13
STAFF-1734,3
STAFF-1734,10
STAFF-1735,14
STAFF-1735,6
STAFF-1735,18
STAFF-1736,1
STAFF-1736,17
STAFF-1736,3
STAFF-1737,18
STAFF-1737,14
STAFF-1737,19
STAFF-1737,16
STAFF-1738,3
STAFF-1738,13
STAFF-1738,20
STAFF-1739,4
STAFF-1739,12
STAFF-1739,11
STAFF-1741,10
STAFF-1741,17
STAFF-1743,12
STAFF-1743,2
STAFF-1743,5
STAFF-1744,15
STAFF-1744,18
STAFF-1744,14
STAFF-1744,2
STAFF-1745,12
STAFF-1745,8
STAFF-1746,15
STAFF-1746,3
STAFF-1746,15
STAFF-1746,11
STAFF-1746,8
STAFF-1748,11
STAFF-1748,13
STAFF-1748,20
STAFF-1749,5
STAFF-1749,17
STAFF-1751,15
STAFF-1751,4
STAFF-1751,10
STAFF-1752,20
STAFF-1752,6
STAFF-1753,1
STAFF-1753,18
STAFF-1753,13
STAFF-1754,3
STAFF-1754,19
STAFF-1755,8
STAFF-1755,12
STAFF-1756,13
STAFF-1756,10
STAFF-1757,4
STAFF-1757,1
STAFF-1757,8
STAFF-1758,19
STAFF-1758,2
STAFF-1758,14
STAFF-1758,1
STAFF-1758,6
STAFF-1759,7
STAFF-1759,12
STAFF-1759,17
STAFF-1760,20
STAFF-1760,1
STAFF-1760,5
STAFF-1761,2
STAFF-1761,20
STAFF-1762,1
STAFF-1762,18
STAFF-1763,9
STAFF-1763,19
STAFF-1763,8
STAFF-1763,16
STAFF-1764,3
STAFF-1765,5
STAFF-1765,9
STAFF-1766,19
STAFF-1766,16
STAFF-1767,13
STAFF-1767,6
STAFF-1768,3
STAFF-1768,1
STAFF-1768,11
STAFF-1769,12
STAFF-1769,2
STAFF-1769,16
STAFF-1769,18
STAFF-1769,5
STAFF-1770,18
STAFF-1770,14
STAFF-1772,11
STAFF-1772,12
STAFF-1773,12
STAFF-1773,18
STAFF-1774,14
STAFF-1774,11
STAFF-1774,4
STAFF-1775,14
STAFF-1775,14
STAFF-1775,3
STAFF-1778,1
STAFF-1778,8
STAFF-1779,19
STAFF-1779,5
STAFF-1780,18
STAFF-1780,9
STAFF-1782,11
STAFF-1782,3
STAFF-1782,5
STAFF-1782,6
STAFF-1782,2
STAFF-1782,8
STAFF-1783,4
STAFF-1783,4
STAFF-1784,4
STAFF-1784,19
STAFF-1784,4
STAFF-1786,1
STAFF-1786,6
STAFF-1786,5
STAFF-1786,3
STAFF-1787,20
STAFF-1788,1
STAFF-1788,16
STAFF-1788,2
STAFF-1789,19
STAFF-1789,3
STAFF-1791,19
STAFF-1791,2
STAFF-1792,13
STAFF-1792,3
STAFF-1793,19
STAFF-1793,17
STAFF-1793,9
STAFF-1794,13
STAFF-1794,8
STAFF-1795,19
STAFF-1795,19
STAFF-1795,13
STAFF-1796,9
STAFF-1796,11
STAFF-1797,8
STAFF-1797,18
STAFF-1798,1
STAFF-1798,16
STAFF-1798,20
STAFF-1798,12
STAFF-1798,4
STAFF-1799,7
STAFF-1799,7
STAFF-1800,2
STAFF-1800,9
STAFF-1800,5
STAFF-1801,5
STAFF-1801,13
STAFF-1801,20
STAFF-1802,15
STAFF-1802,8
STAFF-1803,12
STAFF-1803,8
STAFF-1803,4
STAFF-1804,14
STAFF-1804,20
STAFF-1804,10
STAFF-1804,11
STAFF-1804,8
STAFF-1805,2
STAFF-1805,9
STAFF-1805,14
STAFF-1805,10
STAFF-1806,20
STAFF-1806,9
STAFF-1806,13
STAFF-1807,10
STAFF-1807,11
STAFF-1808,12
STAFF-1808,3
STAFF-1809,19
STAFF-1809,5
STAFF-1809,18
STAFF-1810,2
STAFF-1810,13
STAFF-1810,17
STAFF-1810,12
STAFF-1810,16
STAFF-1810,17
STAFF-1812,16
STAFF-1812,18
STAFF-1812,6
STAFF-1812,16
STAFF-1812,1
STAFF-1812,15
STAFF-1813,19
STAFF-1813,14
STAFF-1814,10
STAFF-1814,14
STAFF-1815,10
STAFF-1815,1
STAFF-1815,3
STAFF-1816,10
STAFF-1816,6
STAFF-1816,19
STAFF-1818,20
STAFF-1818,5
STAFF-1818,13
STAFF-1819,3
STAFF-1819,14
STAFF-1821,18
STAFF-1821,6
STAFF-1823,3
STAFF-1823,6
STAFF-1823,4
STAFF-1823,8
STAFF-1823,1
STAFF-1825,15
STAFF-1825,20
STAFF-1825,14
STAFF-1825,1
STAFF-1826,20
STAFF-1826,17
STAFF-1826,11
STAFF-1826,14
STAFF-1826,3
STAFF-1827,2
STAFF-1827,11
STAFF-1828,18
STAFF-1829,15
STAFF-1829,6
STAFF-1830,19
STAFF-1830,12
STAFF-1831,1
STAFF-1831,9
STAFF-1831,1
STAFF-1833,10
STAFF-1833,20
STAFF-1834,1
STAFF-1834,1
STAFF-1835,11
STAFF-1835,14
STAFF-1835,17
STAFF-1837,20
STAFF-1838,11
STAFF-1838,17
STAFF-1840,10
STAFF-1840,12
STAFF-1841,20
STAFF-1841,18
STAFF-1841,14
STAFF-1841,16
STAFF-1841,19
STAFF-1842,4
STAFF-1842,19
STAFF-1842,2
STAFF-1842,5
STAFF-1842,4
STAFF-1843,3
STAFF-1843,13
STAFF-1844,16
STAFF-1844,1
STAFF-1844,10
STAFF-1845,3
STAFF-1845,20
STAFF-1845,20
STAFF-1846,16
STAFF-1846,11
STAFF-1846,1
STAFF-1846,13
STAFF-1847,12
STAFF-1847,18
STAFF-1847,10
STAFF-1848,4
STAFF-1848,7
STAFF-1848,6
STAFF-1848,1
STAFF-1848,2
STAFF-1849,9
STAFF-1850,1
STAFF-1850,12
STAFF-1850,5
STAFF-1851,15
STAFF-1851,7
STAFF-1851,1
STAFF-1852,3
STAFF-1852,14
STAFF-1853,4
STAFF-1853,12
STAFF-1853,3
STAFF-1854,16
STAFF-1854,11
STAFF-1854,10
STAFF-1856,12
STAFF-1856,18
STAFF-1856,14
STAFF-1856,4
STAFF-1856,20
STAFF-1856,5
STAFF-1857,10
STAFF-1857,18
STAFF-1858,3
STAFF-1858,17
STAFF-1860,14
STAFF-1860,4
STAFF-1860,9
STAFF-1860,11
STAFF-1861,2
STAFF-1861,15
STAFF-1861,5
STAFF-1862,12
STAFF-1862,15
STAFF-1863,17
STAFF-1863,5
STAFF-1863,15
STAFF-1864,3
STAFF-1864,2
STAFF-1865,1
STAFF-1865,12
STAFF-1865,9
STAFF-1865,8
STAFF-1865,5
STAFF-1866,3
STAFF-1866,10
STAFF-1866,16
STAFF-1866,19
STAFF-1866,4
STAFF-1867,1
STAFF-1867,12
STAFF-1867,10
STAFF-1867,5
STAFF-1870,4
STAFF-1870,5
STAFF-1870,3
STAFF-1871,3
STAFF-1871,5
STAFF-1872,17
STAFF-1872,6
STAFF-1872,15
STAFF-1873,5
STAFF-1873,8
STAFF-1873,13
STAFF-1874,6
STAFF-1874,15
STAFF-1877,15
STAFF-1877,6
STAFF-1877,13
STAFF-1878,18
STAFF-1878,18
STAFF-1878,16
STAFF-1879,7
STAFF-1879,10
STAFF-1880,10
STAFF-1880,12
STAFF-1881,17
STAFF-1881,19
STAFF-1881,15
STAFF-1881,12
STAFF-1881,5
STAFF-1882,14
STAFF-1882,12
STAFF-1883,1
STAFF-1883,12
STAFF-1884,20
STAFF-1884,16
STAFF-1885,16
STAFF-1885,15
STAFF-1885,9
